review_id,order_id,customer_id,rating,review_text
RV00001,O01031,C01616,2,The order was delayed and disappointing.
RV00002,O03887,C00340,4,Really good experience overall.
RV00003,O03072,C00426,2,Food was cold when it arrived.
RV00004,O03479,C01093,5,"Loved the food, would definitely order again."
RV00005,O09509,C00130,5,Amazing food and great delivery experience.
RV00006,O05947,C01248,5,Amazing food and great delivery experience.
RV00007,O06831,C00515,4,"Good service, just a minor delay."
RV00008,O04782,C00223,1,Food was disappointing and delivery was extremely slow.
RV00009,O08527,C01772,3,"Average experience, nothing special."
RV00010,O01092,C00480,2,The order was delayed and disappointing.
RV00011,O06196,C00162,4,"Good service, just a minor delay."
RV00012,O06868,C01923,5,"Loved the food, would definitely order again."
RV00013,O07136,C01597,3,The order was fine overall.
RV00014,O05214,C00948,4,Really good experience overall.
RV00015,O05336,C01627,5,"Loved the food, would definitely order again."
RV00016,O03399,C01531,3,"Average experience, nothing special."
RV00017,O08691,C01901,5,Food was excellent and delivery was very quick.
RV00018,O02067,C01786,5,Amazing food and great delivery experience.
RV00019,O08043,C01113,5,Food was excellent and delivery was very quick.
RV00020,O02399,C01562,1,"Very poor service, would not order again."
RV00021,O00156,C00740,4,"Good service, just a minor delay."
RV00022,O00141,C00357,3,Food was okay but delivery took some time.
RV00023,O06065,C00126,1,Food was disappointing and delivery was extremely slow.
RV00024,O00621,C01613,4,"Good service, just a minor delay."
RV00025,O08950,C01569,4,Really good experience overall.
RV00026,O08676,C01276,1,"Terrible experience, food arrived very late."
RV00027,O03310,C00810,4,"Good service, just a minor delay."
RV00028,O03904,C00412,1,Very late delivery and the food was cold.
RV00029,O02817,C01714,4,Good food and the delivery was on time.
RV00030,O02908,C00245,4,Good food and the delivery was on time.
RV00031,O00878,C00746,4,Food was tasty and delivery was smooth.
RV00032,O04648,C00509,2,The order was delayed and disappointing.
RV00033,O09618,C01957,4,Food was tasty and delivery was smooth.
RV00034,O06107,C01139,3,"Average experience, nothing special."
RV00035,O06159,C00617,1,"Very poor service, would not order again."
RV00036,O01527,C01127,5,Food was excellent and delivery was very quick.
RV00037,O03443,C00330,3,Food was okay but delivery took some time.
RV00038,O07502,C01050,5,Everything was perfect and arrived on time.
RV00039,O09174,C00733,4,Really good experience overall.
RV00040,O05533,C00885,2,The order was delayed and disappointing.
RV00041,O09692,C01337,5,Amazing food and great delivery experience.
RV00042,O04159,C01808,5,Food was excellent and delivery was very quick.
RV00043,O03588,C00807,4,Really good experience overall.
RV00044,O02604,C01520,5,Amazing food and great delivery experience.
RV00045,O07735,C01986,2,Food was cold when it arrived.
RV00046,O00364,C00249,2,Delivery was late and the food was not very good.
RV00047,O07143,C00628,1,Very late delivery and the food was cold.
RV00048,O03703,C00207,4,Food was tasty and delivery was smooth.
RV00049,O01454,C00794,3,Food was decent but could have been better.
RV00050,O09644,C01818,5,Food was excellent and delivery was very quick.
RV00051,O05015,C01790,2,Delivery was late and the food was not very good.
RV00052,O01755,C01129,5,Everything was perfect and arrived on time.
RV00053,O00537,C01997,4,Really good experience overall.
RV00054,O06127,C00114,3,Food was okay but delivery took some time.
RV00055,O09380,C01663,5,"Loved the food, would definitely order again."
RV00056,O00445,C01829,5,Everything was perfect and arrived on time.
RV00057,O08799,C00585,2,The order was delayed and disappointing.
RV00058,O03778,C00128,5,Food was excellent and delivery was very quick.
RV00059,O09990,C01661,4,Good food and the delivery was on time.
RV00060,O01398,C01210,3,Food was decent but could have been better.
RV00061,O03335,C01139,1,Very late delivery and the food was cold.
RV00062,O01100,C00625,5,Everything was perfect and arrived on time.
RV00063,O04754,C01208,4,Food was tasty and delivery was smooth.
RV00064,O05810,C00293,2,Not happy with the delivery experience.
RV00065,O00685,C00133,4,Food was tasty and delivery was smooth.
RV00066,O02911,C00780,5,Amazing food and great delivery experience.
RV00067,O09505,C00680,4,Really good experience overall.
RV00068,O09994,C01762,5,"Loved the food, would definitely order again."
RV00069,O07231,C00076,4,Really good experience overall.
RV00070,O03093,C00157,5,Everything was perfect and arrived on time.
RV00071,O07793,C01551,3,Food was decent but could have been better.
RV00072,O08114,C01810,2,Not happy with the delivery experience.
RV00073,O01485,C00942,5,Food was excellent and delivery was very quick.
RV00074,O00311,C00565,4,Really good experience overall.
RV00075,O02706,C00698,4,Good food and the delivery was on time.
RV00076,O04549,C01492,4,"Good service, just a minor delay."
RV00077,O02735,C01358,2,Delivery was late and the food was not very good.
RV00078,O09384,C00077,2,Not happy with the delivery experience.
RV00079,O09880,C01585,3,The order was fine overall.
RV00080,O00374,C00426,3,The order was fine overall.
RV00081,O08829,C00438,4,"Good service, just a minor delay."
RV00082,O05645,C00223,5,"Loved the food, would definitely order again."
RV00083,O07141,C00552,5,Everything was perfect and arrived on time.
RV00084,O08483,C01623,2,Food was cold when it arrived.
RV00085,O02905,C01550,4,Good food and the delivery was on time.
RV00086,O08105,C00308,5,Food was excellent and delivery was very quick.
RV00087,O01213,C00961,3,"Average experience, nothing special."
RV00088,O00640,C00371,3,Food was okay but delivery took some time.
RV00089,O08265,C01134,2,Food was cold when it arrived.
RV00090,O04512,C00113,4,Good food and the delivery was on time.
RV00091,O06769,C00524,3,The order was fine overall.
RV00092,O06350,C01629,3,Food was decent but could have been better.
