review_id,order_id,customer_id,rating,review_text,sentiment,clean_text,vader_sentiment
RV00001,O01031,C01616,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00002,O03887,C00340,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00003,O03072,C00426,2,Food was cold when it arrived.,Negative,food was cold when it arrived,Neutral
RV00004,O03479,C01093,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00005,O09509,C00130,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00006,O05947,C01248,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00007,O06831,C00515,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00008,O04782,C00223,1,Food was disappointing and delivery was extremely slow.,Negative,food was disappointing and delivery was extremely slow,Negative
RV00009,O08527,C01772,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00010,O01092,C00480,2,The order was delayed and disappointing.,Negative,the order was delayed and disappointing,Negative
RV00011,O06196,C00162,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00012,O06868,C01923,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00013,O07136,C01597,3,The order was fine overall.,Neutral,the order was fine overall,Positive
RV00014,O05214,C00948,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00015,O05336,C01627,5,"Loved the food, would definitely order again.",Positive,loved the food would definitely order again,Positive
RV00016,O03399,C01531,3,"Average experience, nothing special.",Neutral,average experience nothing special,Negative
RV00017,O08691,C01901,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00018,O02067,C01786,5,Amazing food and great delivery experience.,Positive,amazing food and great delivery experience,Positive
RV00019,O08043,C01113,5,Food was excellent and delivery was very quick.,Positive,food was excellent and delivery was very quick,Positive
RV00020,O02399,C01562,1,"Very poor service, would not order again.",Negative,very poor service would not order again,Negative
RV00021,O00156,C00740,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00022,O00141,C00357,3,Food was okay but delivery took some time.,Neutral,food was okay but delivery took some time,Positive
RV00023,O06065,C00126,1,Food was disappointing and delivery was extremely slow.,Negative,food was disappointing and delivery was extremely slow,Negative
RV00024,O00621,C01613,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
RV00025,O08950,C01569,4,Really good experience overall.,Positive,really good experience overall,Positive
RV00026,O08676,C01276,1,"Terrible experience, food arrived very late.",Negative,terrible experience food arrived very late,Negative
RV00027,O03310,C00810,4,"Good service, just a minor delay.",Positive,good service just a minor delay,Positive
